;代码	X	Y	名称	范围	数量	时间
0	340	513	弓箭守卫	0	1	1
0	341	514	弓箭守卫	0	1	1
0	367	487	弓箭守卫	0	1	1
0	368	488	弓箭守卫	0	1	1
0	318	244	弓箭守卫	0	1	1
0	300	207	弓箭守卫	0	1	1
0	310	227	弓箭守卫	0	1	1
0	313	230	弓箭守卫	0	1	1
0	309	286	弓箭守卫	0	1	1
0	329	289	弓箭守卫	0	1	1
0	355	280	弓箭守卫	0	1	1
0	362	301	弓箭守卫	0	1	1
0	374	291	弓箭守卫	0	1	1
3	325	311	弓箭守卫	0	1	1
3	348	332	弓箭守卫	0	1	1
3	296	334	弓箭守卫	0	1	1
3	302	340	弓箭守卫	0	1	1
3	305	290	弓箭守卫	0	1	1
3	288	305	弓箭守卫	0	1	1
3	302	370	弓箭守卫	0	1	1
3	335	319	弓箭守卫	0	1	1
2	510	479	弓箭守卫	0	1	1
0	567	621	弓箭守卫	0	1	1
0	600	576	弓箭守卫	0	1	1
0	662	558	弓箭守卫	0	1	1
0	320	36	弓箭守卫	0	1	1
0	327	42	弓箭守卫	0	1	1
1	566	544	弓箭守卫	0	1	1
1	555	544	弓箭守卫	0	1	1
3	273	743	弓箭守卫	0	1	1
3	274	744	弓箭守卫	0	1	1
3	512	770	弓箭守卫	0	1	1
3	519	777	弓箭守卫	0	1	1
2	292	60	弓箭守卫	0	1	1
2	298	65	弓箭守卫	0	1	1
2	552	80	弓箭守卫	0	1	1
2	560	88	弓箭守卫	0	1	1
1	46	39	弓箭守卫	0	1	1
1	52	33	弓箭守卫	0	1	1
5	136	336	弓箭守卫	0	1	1
5	131	301	弓箭守卫	0	1	1
5	140	362	弓箭守卫	0	1	1
5	169	352	弓箭守卫	0	1	1
5	164	357	弓箭守卫	0	1	1
5	122	334	弓箭守卫	0	1	1
5	143	324	弓箭守卫	0	1	1
11	43	480	弓箭守卫	0	1	1
11	49	474	弓箭守卫	0	1	1
11	353	246	弓箭守卫	0	1	1
11	357	243	弓箭守卫	0	1	1
12	327	468	弓箭守卫	0	1	1
12	320	474	弓箭守卫	0	1	1
E605	10	61	弓箭守卫	0	1	20
E605	15	68	弓箭守卫	0	1	20
D601	13	196	弓箭守卫	0	1	20
D601	7	201	弓箭守卫	0	1	20
E601	139	13	弓箭守卫	0	1	20
E601	138	12	弓箭守卫	0	1	20
D422	332	380	弓箭守卫	0	1	20
D422	328	384	弓箭守卫	0	1	20


;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
;地图名：新手练级
0139	25	29	稻草人		30	60	1
0139	25	29	稻草人		30	60	1
0139	25	29	稻草人		30	60	1
0139	25	29	稻草人		30	60	1
0139	15	29	稻草人		30	60	1
0139	15	29	稻草人		30	60	1
0139	15	29	稻草人		30	60	1
;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 
;地图名：新手练级
1188	25	29	稻草人		30	60	1
1188	25	29	稻草人		30	60	1
1188	25	29	稻草人		30	60	1
1188	25	19	稻草人		30	60	1
1188	15	29	稻草人		30	60	1
1188	15	29	稻草人		30	60	1
1188	15	29	稻草人		30	60	1
;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 
;地图名：新手练级
1189	25	29	稻草人		30	60	1
1189	25	29	稻草人		30	60	1
1189	25	29	稻草人		30	60	1
1189	25	19	稻草人		30	60	1
1189	15	29	稻草人		30	60	1
1189	15	29	稻草人		30	60	1
1189	15	29	稻草人		30	60	1

;━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 
;特殊
H007A	95	14	半兽战士7	2	55	8
H007A	19	19	半兽人7	       2	50	7
H007A	85	25	半兽战士7	2	50	8
H007A	73	37	半兽人7	       2	55	6
H007A	79	31	半兽战士7	2	50	8
H007A	67	43	半兽人7	       2	55	7
H007A	61	49	半兽战士7	2	55	8
H007A	55	55	半兽人7	       2	50	8
H007A	48	62	半兽战士7	2	55	8
H007A	42	68	半兽人7	       2	50	7
H007A	36	74	半兽战士7	2	50	8

H007A	183	104	半兽战士7	2	50	8
H007A	177	110	半兽战士7	2	55	8
H007A	171	116	半兽战士7	2	50	8
H007A	165	122	半兽人7	       2	55	7
H007A	159	128	半兽战士7	2	50	8
H007A	153	134	半兽战士7	2	55	6
H007A	147	140	半兽战士7	2	50	8
H007A	141	146	半兽战士7	2	55	8
H007A	135	152	半兽人7	       2	50	5
H007A	128	159	半兽战士7	2	55	8
H007A	122	165	半兽战士7	2	50	6
H007A	116	171	半兽人7	       2	55	8
H007A	110	117	半兽战士7	2	50	6
H007A	104	183	半兽战士7	2	55	8
H007A	98	189	半兽人7	       2	50	6

H007A	166	196	半兽战士7	3	50	8
H007A	160	90	半兽战士7	3	55	8
H007A	154	83	半兽战士7	3	50	8
H007A	148	77	半兽战士7	3	55	7
H007A	144	73	半兽战士7	3	50	6
H007A	138	67	半兽战士7	3	55	8
H007A	132	61	半兽战士7	3	50	6
H007A	126	55	半兽战士7	3	55	8
H007A	120	49	半兽战士7	3	50	6
H007A	114	43	半兽战士7	3	55	8
H007A	108	37	半兽战士7	3	50	8
H007A	102	31	半兽战士7	3	55	6

H007A	117	26	半兽战士7	2	55	8
H007A	123	32	半兽战士7	2	55	8
H007A	129	38	半兽战士7	2	55	6
H007A	135	44	半兽战士7	2	55	6
H007A	141	50	半兽战士7	2	55	8
H007A	147	56	半兽战士7	2	55	6
H007A	153	62	半兽战士7	2	55	8
H007A	159	68	半兽战士7	2	55	6
H007A	165	74	半兽战士7	2	55	8
H007A	171	80	半兽战士7	2	55	6
H007A	177	86	半兽战士7	2	55	8
H007A	183	92	半兽战士7	2	55	6
H007A	189	98	半兽战士7	2	55	8
H007A	150	176	半兽战士7	2	55	8
H007A	165	163	半兽战士7	2	55	8

H007A	92	185	半兽战士7	2	55	8
H007A	86	178	半兽战士7	2	55	6
H007A	80	172	半兽战士7	2	55	8
H007A	74	166	半兽战士7	2	55	7
H007A	68	160	半兽战士7	2	55	8
H007A	62	153	半兽战士7	2	55	7
H007A	56	148	半兽战士7	2	55	7
H007A	50	142	半兽战士7	2	55	7
H007A	44	136	半兽战士7	2	55	8
H007A	38	130	半兽战士7	2	55	6
H007A	32	124	半兽战士7	2	55	7
H007A	26	118	半兽战士7	2	55	6
H007A	20	112	半兽战士7	2	55	8
H007A	14	106	半兽战士7	2	55	6
H007A	10	102	半兽战士7	2	55	8

H007A	92	185	半兽人7	       3	55	8
H007A	86	178	半兽人7	       3	58	8
H007A	80	172	半兽人7	       3	50	8
H007A	74	166	半兽人7	       3	55	8
H007A	68	160	半兽人7	       3	58	6
H007A	62	153	半兽人7	       3	50	8
H007A	56	148	半兽人7	       3	55	6
H007A	50	142	半兽人7	       3	58	6
H007A	44	136	半兽人7	       3	50	8
H007A	38	130	半兽人7	       3	55	6
H007A	32	124	半兽人7	       3	58	6
H007A	26	118	半兽人7	       3	50	8
H007A	20	112	半兽人7	       3	55	7
H007A	14	106	半兽人7	       3	58	6
H007A	10	102	半兽人7	       3	50	8

H007A	14	96	半兽战士7	3	55	8
H007A	20	90	半兽战士7	3	55	5
H007A	20	91	半兽战士7	5	55	9
H007A	26	84	半兽战士7	3	55	7
H007A	32	80	半兽人7	       3	55	8
H007A	38	86	半兽战士7	5	55	6
H007A	38	92	半兽战士7	3	55	8
H007A	32	98	半兽战士7	3	55	7
H007A	36	105	半兽人7	       3	45	6
H007A	42	111	半兽战士7	5	55	8
H007A	48	117	半兽战士7	3	55	8
H007A	54	123	半兽战士7	3	55	8
H007A	60	129	半兽战士7	5	55	6
H007A	66	135	半兽战士7	3	55	8
H007A	72	141	半兽人7	       3	55	7
H007A	78	147	半兽战士7	5	55	8
H007A	84	153	半兽战士7	3	55	8
H007A	90	159	半兽战士7	3	55	6
H007A	96	165	半兽人7	       5	55	8

H007A	102	166	半兽战士7	2	58	8
H007A	106	162	半兽战士7	2	50	9
H007A	110	158	半兽战士7	2	58	8
H007A	114	154	半兽战士7	2	50	6
H007A	118	150	半兽战士7	2	58	9
H007A	122	146	半兽战士7	2	50	8
H007A	126	142	半兽战士7	2	58	8
H007A	130	138	半兽战士7	3	50	6
H007A	134	134	半兽战士7	3	58	8
H007A	138	130	半兽战士7	3	50	9
H007A	142	126	半兽战士7	3	58	8
H007A	146	122	半兽战士7	3	50	6
H007A	150	118	半兽战士7	3	58	7
H007A	154	114	半兽战士7	3	50	8
H007A	158	110	半兽战士7	3	58	8
H007A	162	106	半兽战士7	3	50	6
H007A	166	102	半兽战士7	3	58	8

H007A	98	33	半兽战士7	3	55	8
H007A	92	39	半兽战士7	3	55	7
H007A	86	45	半兽战士7	3	55	8
H007A	80	51	半兽战士7	3	55	7
H007A	74	57	半兽战士7	3	55	8
H007A	68	63	半兽战士7	3	55	7
H007A	62	69	半兽战士7	3	55	8
H007A	58	73	半兽战士7	3	55	7

H007A	81	59	恶灵僵尸7	3	45	8
H007A	85	63	恶灵僵尸7	3	48	6
H007A	81	69	恶灵僵尸7	3	44	7
H007A	75	75	恶灵僵尸7	3	48	6
H007A	69	81	恶灵僵尸7	3	48	8
H007A	63	87	恶灵僵尸7	3	40	6
H007A	57	93	恶灵僵尸7	3	42	4
H007A	53	99	恶灵僵尸7	3	46	8
H007A	59	106	恶灵僵尸7	3	45	8
H007A	65	112	恶灵僵尸7	3	40	6
H007A	71	118	恶灵僵尸7	3	45	7
H007A	77	124	恶灵僵尸7	3	48	6
H007A	83	130	恶灵僵尸7	3	45	6
H007A	89	136	恶灵僵尸7	3	48	5
H007A	95	142	恶灵僵尸7	3	46	8
H007A	101	148	恶灵僵尸7	3	48	7
H007A	107	141	恶灵僵尸7	3	46	7
H007A	114	134	恶灵僵尸7	3	48	6
H007A	120	128	恶灵僵尸7	3	46	8

H007A	126	122	恶灵僵尸7	3	40	8
H007A	132	116	恶灵僵尸7	3	45	8
H007A	138	110	恶灵僵尸7	3	40	7
H007A	144	104	骷髅长枪兵7	3	55	8
H007A	148	98	恶灵僵尸7	3	50	8
H007A	142	91	骷髅长枪兵7	3	45	7
H007A	136	85	恶灵僵尸7	3	40	6
H007A	130	79	骷髅长枪兵7	3	55	8
H007A	124	73	恶灵僵尸7	3	40	8
H007A	118	67	骷髅长枪兵7	3	45	8
H007A	112	61	恶灵僵尸7	3	50	8
H007A	106	55	骷髅长枪兵7	3	55	8
H007A	100	51	恶灵僵尸7	3	40	8
H007A	94	56	骷髅长枪兵7	5	55	7
H007A	88	62	恶灵僵尸7	3	40	8

H007A	123	115	骷髅长枪兵7	10	46	8
H007A	125	102	骷髅长枪兵7	4	42	6
H007A	129	97	骷髅长枪兵7	4	46	8
H007A	124	90	骷髅长枪兵7	4	42	6
H007A	118	84	骷髅长枪兵7	4	46	7
H007A	112	78	骷髅长枪兵7	4	42	9
H007A	106	72	骷髅长枪兵7	4	46	8
H007A	99	70	骷髅长枪兵7	4	32	6
H007A	94	75	骷髅长枪兵7	4	46	8
H007A	88	82	骷髅长枪兵7	4	42	8
H007A	82	87	骷髅长枪兵7	4	46	8
H007A	76	93	骷髅长枪兵7	4	42	8
H007A	74	99	骷髅长枪兵7	4	46	8
H007A	80	105	骷髅长枪兵7	4	42	7
H007A	87	112	骷髅长枪兵7	4	45	6
H007A	93	118	骷髅长枪兵7	4	46	8
H007A	99	124	骷髅长枪兵7	4	42	7
H007A	105	121	骷髅长枪兵7	4	46	6
H007A	111	115	骷髅长枪兵7	2	42	8
H007A	102	95	骷髅锤兵7	5	45	8
H007A	102	95	骷髅锤兵7	3	40	8
H007A	102	95	骷髅长枪兵7	5	45	8
H007A	155	170	半兽战士7	20	40	8
H007A	155	170	半兽人7	       25	40	7



H007A	21	86	电僵王7	       5	1	20
H007A	127	98	电僵王7	       5	1	20
H007A	76	55	电僵王7	       2	1	20
H007A	147	94	电僵王7	       2	1	20
H007A	101	48	触龙神7	       0	1	20
H007A	127	92	触龙神7	       0	1	20
H007A	82	59	触龙神7	       0	1	20
H007A	70	98	双头血魔	2	4	10
H007A	47	139	双头金刚	4	4	10
H007A	65	157	重装使者	5	2	15
H007A	70	98	暗之魔龙力士	120	10	30
H007A	80	50	暗之魔龙战将	120	10	30
H007A	155	170	暗之魔龙巨蛾	120	10	30
H007A	70	98	牛魔王	        40	 3	20
H007A   155	170     魔龙教主        120      1      60

H008A	70	98	双头血魔	2	4	10
H008A	47	139	双头金刚	4	4	10
H008A	65	157	重装使者	5	10	10
H008A	70	98	暗之魔龙力士	80	10	10
H008A	80	50	暗之魔龙战将	80	10	10
H008A	155	170	暗之魔龙巨蛾	120	10	10
H008A	70	98	牛魔王	        40	2	30
H008A   155	170     魔龙教主        120      1      30
H008A   155	170     暗之魔龙教主    120      1      30






3	356	341	打我爆终极	1	1	60


D5072	50	50	祖玛雕像	50	35	4
D5072	50	50	祖玛卫士	50	35	4
D5072	50	50	祖玛弓箭手	50	35	4
D5072	50	50	楔蛾		50	35	4
D5072	50	50	角蝇		50	5	4
;;捞亥飘己	阁胶磐
D5072	50	50	祖玛雕像3	50	10	5
D5072	50	50	祖玛卫士3	50	10	5
D5072	50	50	祖玛弓箭手3	50	10	5
;;磐瘤绰	阁胶磐
D5072	50	50	祖玛雕像0	50	8	5
D5072	50	50	祖玛卫士0	50	8	5
D5072	50	50	祖玛弓箭手0	50	8	5

D5073	50	50	祖玛雕像	50	35	4
D5073	50	50	祖玛卫士	50	35	4
D5073	50	50	祖玛弓箭手	50	35	4
D5073	50	50	楔蛾		50	35	4
D5073	50	50	角蝇		50	5	4
;;捞亥飘己阁胶磐
D5073	50	50	祖玛雕像3	50	10	5
D5073	50	50	祖玛卫士3	50	10	5
D5073	50	50	祖玛弓箭手3	50	10	5
;;磐瘤绰	阁胶磐
D5073	50	50	祖玛雕像0	50	8	5
D5073	50	50	祖玛卫士0	50	8	5
D5073	50	50	祖玛弓箭手0	50	8	5

D5074	50	50	祖玛雕像	50	35	4
D5074	50	50	祖玛卫士	50	35	4
D5074	50	50	祖玛弓箭手	50	35	4
D5074	50	50	楔蛾		50	35	4
D5074	50	50	角蝇		50	10	4
D5074	73	22	祖玛雕像	7	10	3
D5074	73	22	祖玛卫士	7	10	3
D5074	73	22	祖玛弓箭手	7	5	3
D5074	73	22	楔蛾		7	5	3
D5074	73	22	角蝇		7	3	3
;;极品
D5074	50	50	祖玛雕像3	50	6	5
D5074	50	50	祖玛卫士3	50	6	5
D5074	50	50	祖玛弓箭手3	50	6	5
;特殊
D5074	50	50	祖玛雕像0	50	6	5
D5074	50	50	祖玛卫士0	50	6	5
D5074	50	50	祖玛弓箭手0	50	6	5
D515	22	20	角蝇		20	4	10
D515	19	24	祖玛教主	0	1	60
D515	19	24	暗之魔龙教主	6	2	60
D515	19	24	魔龙教主	4	2	30






;;籍阿6摸
D716	25	25	红野猪	25	5	10
D716	25	25	黑野猪	25	5	10
D716	25	25	楔蛾	25	8	10
D716	25	25	蝎蛇	25	5	10
D716	25	25	黑色恶蛆	25	8	10
D716	25	25	角蝇	25	2	10
;特殊
D716	25	25	黑野猪0	25	2	120

;;籍阿7摸
D717	100	100	黑色恶蛆	100	100	15
D717	100	100	楔蛾		100	100	15
D717	100	100	白野猪0		100	28	120
D717	100	100	白野猪		100	5	120
D717	100	100	白野猪		100	5	180
D717	100	100	邪恶毒蛇	100	2	120
D717	100	100	角蝇		100	15	10












;;尸王殿
Q004	15	15	尸王2	5	20	15
Q004	15	15	尸王	5	20	15


;d10061
D10061	15	18	月魔蜘蛛	12	5	7
D10061	13	18	月魔蜘蛛	12	7	6
D10061	13	18	月魔蜘蛛	12	7	6
D10061	13	18	钢牙蜘蛛	12	10	6
D10061	13	18	暴牙蜘蛛	12	9	6
D10061	15	21	黑锷蜘蛛	12	5	7
D10061	16	19	血巨人		12	5	7
D10061	16	19	血僵尸		12	7	6
D10061	15	18	双头血魔	12	1	120
D10061	15	18	双头金刚	12	1	120
;特殊
D10061	15	18	月魔蜘蛛0	12	2	30
D10061	15	18	血巨人0	12	2	60
D10061	15	18	血僵尸0	12	2	60
D10061	15	18	黑锷蜘蛛0	12	3	60
D10061	15	18	暴牙蜘蛛0	12	3	60

;d10062
D10062	23	18	赤月恶魔	0	1	120
D10062	17	19	月魔蜘蛛	14	6	6
D10062	17	19	月魔蜘蛛	14	7	5
D10062	15	19	花吻蜘蛛	14	8	6
D10062	15	19	钢牙蜘蛛	14	4	6
D10062	15	19	暴牙蜘蛛	14	8	6
D10062	17	17	黑锷蜘蛛	14	4	6
D10062	17	17	黑锷蜘蛛	14	6	7
D10062	16	18	血巨人	14	3	7
D10062	16	18	血僵尸	14	3	7

D10062	17	19	月魔蜘蛛0	14	2	30
D10062	17	19	花吻蜘蛛0	14	2	60
D10062	17	19	钢牙蜘蛛0	14	2	60
D10062	17	19	暴牙蜘蛛0	14	2	60
D10062	17	19	剧毒蜘蛛0	14	2	60
D10062	17	19	黑锷蜘蛛0	14	2	60
D10062	17	19	血巨人0	14	1	60
D10062	17	19	血僵尸0	14	1	60


1002	14	13	鹰卫	0	1	120

;绝情谷
D717	83	25	石墓尸王	0	1	120


;封魔谷
1	51	165	弓箭守卫	0	1	1
1	51	172	弓箭守卫	0	1	1
4	443	184	恶魔弓箭手	0	1	1
4	443	192	恶魔弓箭手	0	1	1
4	256	231	恶魔弓箭手	0	1	1
4	251	236	恶魔弓箭手	0	1	1
4	255	230	恶魔弓箭手	0	1	1
4	250	235	恶魔弓箭手	0	1	1
4	254	229	恶魔弓箭手	0	1	1
4	249	234	恶魔弓箭手	0	1	1
4	253	228	恶魔弓箭手	0	1	1
4	248	233	恶魔弓箭手	0	1	1
4	252	227	恶魔弓箭手	0	1	1
4	247	232	恶魔弓箭手	0	1	1
4	257	186	恶魔弓箭手	0	1	1
4	253	183	恶魔弓箭手	0	1	1
4	256	187	恶魔弓箭手	0	1	1
4	252	184	恶魔弓箭手	0	1	1
4	255	188	恶魔弓箭手	0	1	1
4	251	185	恶魔弓箭手	0	1	1
4	254	189	恶魔弓箭手	0	1	1
4	250	186	恶魔弓箭手	0	1	1
4	253	190	恶魔弓箭手	0	1	1
4	249	187	恶魔弓箭手	0	1	1
4	215	193	恶魔弓箭手	0	1	1
4	219	189	恶魔弓箭手	0	1	1

4	322	334	半兽战士	90	40	5
4	322	334	半兽勇士9	90	20	7
4	322	334	半兽勇士1	90	10	7
4	322	334	骷髅	90	20	5
4	322	334	骷髅战士	90	20	5
4	322	334	骷髅战将	90	20	5
4	322	334	掷斧骷髅	90	20	5

4	348	190	半兽战士	90	40	5
4	348	190	半兽勇士9	90	20	7
4	348	190	半兽勇士1	90	10	7
4	348	190	骷髅	90	20	5
4	348	190	骷髅战士	90	20	5
4	348	190	骷髅战将	90	20	5
4	348	190	掷斧骷髅	90	20	5

4	107	138	半兽战士	90	40	5
4	107	138	半兽勇士9	90	20	7
4	107	138	半兽勇士1	90	10	7
4	107	138	骷髅	90	20	5
4	107	138	骷髅战士	90	20	5
4	107	138	骷髅战将	90	20	5
4	107	138	掷斧骷髅	90	20	5

4	126	311	半兽战士	90	40	5
4	126	311	半兽勇士9	90	20	7
4	126	311	半兽勇士1	90	10	7
4	126	311	骷髅	90	20	5
4	126	311	骷髅战士	90	20	5
4	126	311	骷髅战将	90	20	5
4	126	311	掷斧骷髅	90	20	5

4	199	99	骷髅	50	20	6
4	199	99	骷髅战士	50	20	6
4	199	99	骷髅战将	50	20	6
4	199	99	掷斧骷髅	50	20	6

4	274	259	骷髅	15	4	6
4	274	259	骷髅战士	15	4	6
4	274	259	骷髅战将	15	4	6
4	274	259	掷斧骷髅	15	4	6
4	274	259	僵尸2	15	4	6

4	170	267	骷髅	15	4	6
4	170	267	骷髅战士	15	4	6
4	170	267	骷髅战将	15	4	6
4	170	267	掷斧骷髅	15	4	6
4	170	267	僵尸2	15	4	6

4	289	154	骷髅	15	4	6
4	289	154	骷髅战士	15	4	6
4	289	154	骷髅战将	15	4	6
4	289	154	掷斧骷髅	15	4	6
4	289	154	僵尸2	15	4	6

4	443	192	半兽勇士9	20	5	7
4	443	192	半兽战士	20	10	7
